Customer.ID,Customer.Name,Order.Date,Order.ID,Sales
LS-172304,Lycoris Saunders,2011-01-07,CA-2011-130813,19
MV-174854,Mark Van Huff,2011-01-21,CA-2011-148614,19
CS-121304,Chad Sievert,2011-08-05,CA-2011-118962,21
CS-121304,Chad Sievert,2011-08-05,CA-2011-118962,111
AP-109154,Arthur Prichep,2011-09-29,CA-2011-146969,6
JF-154904,Jeremy Farry,2011-10-19,CA-2011-117317,13
WB-218504,William Brown,2011-11-04,CA-2011-125829,19
JA-159704,Joseph Airdo,2011-11-12,CA-2011-151295,12
SP-209204,Susan Pistek,2011-11-22,CA-2011-135090,54
RL-196154,Rob Lucas,2011-12-05,CA-2011-133830,49
KD-163454,Katherine Ducich,2011-12-13,CA-2011-113579,90
JM-161954,Justin MacKendrick,2012-02-15,CA-2012-116092,13
JM-161954,Justin MacKendrick,2012-02-15,CA-2012-116092,19
RD-195854,Rob Dowd,2012-02-16,CA-2012-121776,37
AB-101654,Alan Barnes,2012-03-28,CA-2012-131534,33
AR-105404,Andy Reiter,2012-04-11,US-2012-136987,53
LH-171554,Logan Haushalter,2012-06-19,CA-2012-121965,6
AR-105104,Andrew Roberts,2012-08-31,CA-2012-112319,58
NG-184304,Nathan Gelder,2012-11-22,CA-2012-137708,38
NG-184304,Nathan Gelder,2012-11-22,CA-2012-137708,43
DP-130004,Darren Powers,2012-11-24,CA-2012-105347,369
TS-213404,Toby Swindell,2012-11-24,CA-2012-153416,19
KM-167204,Kunst Miller,2012-11-24,CA-2012-135545,147
AI-108554,Arianne Irving,2012-12-20,CA-2012-158918,17
CL-125654,Clay Ludtke,2012-12-30,CA-2012-135580,69
SW-202454,Scot Wooten,2013-03-13,US-2013-119270,20
CC-122204,Chris Cortes,2013-03-29,CA-2013-131380,6
LC-171404,Logan Currie,2013-04-09,CA-2013-130477,20
LC-171404,Logan Currie,2013-04-09,CA-2013-130477,13
JF-152954,Jason Fortune-,2013-04-13,CA-2013-163594,19
JO-152804,Jas O'Carroll,2013-04-20,US-2013-115819,23
TB-216254,Trudy Brown,2013-05-09,CA-2013-111696,18
TT-210704,Ted Trevino,2013-05-12,CA-2013-162733,6
DO-134354,Denny Ordway,2013-05-17,CA-2013-133144,17
LS-172454,Lynn Smith,2013-05-28,CA-2013-136994,13
CL-125654,Clay Ludtke,2013-05-29,CA-2013-134803,183
OT-187304,Olvera Toch,2013-06-11,CA-2013-113243,32
BD-113204,Bill Donatelli,2013-06-17,CA-2013-148593,46
MV-181904,Mike Vittorini,2013-06-18,CA-2013-123512,220
GT-147554,Guy Thornton,2013-07-04,CA-2013-130029,13
CC-123704,Christopher Conant,2013-07-08,CA-2013-135265,49
JM-155804,Jill Matthias,2013-08-15,CA-2013-136021,16
BD-113204,Bill Donatelli,2013-08-16,CA-2013-167241,38
PS-187604,Pamela Stobb,2013-09-30,US-2013-101497,19
CC-124754,Cindy Chapman,2013-10-08,CA-2013-155033,11
JE-157454,Joel Eaton,2013-10-09,US-2013-162026,62
XP-218654,Xylona Preis,2013-11-04,CA-2013-109365,315
XP-218654,Xylona Preis,2013-11-04,CA-2013-109365,116
XP-218654,Xylona Preis,2013-11-04,CA-2013-109365,19
AI-108554,Arianne Irving,2013-11-11,CA-2013-158694,68
AI-108554,Arianne Irving,2013-11-11,CA-2013-158694,61
SO-203354,Sean O'Donnell,2014-01-15,CA-2014-149076,155
CK-125954,Clytie Kelty,2014-02-24,CA-2014-104647,37
PS-187604,Pamela Stobb,2014-04-18,CA-2014-128965,28
LL-168404,Lauren Leatherbury,2014-04-26,CA-2014-120222,19
DD-135704,Dorothy Dickinson,2014-05-03,CA-2014-147844,16
DD-135704,Dorothy Dickinson,2014-05-03,CA-2014-147844,34
DV-134654,Dianna Vittorini,2014-06-12,US-2014-152002,123
CC-126704,Craig Carreira,2014-06-19,CA-2014-112753,39
TT-212204,Thomas Thornton,2014-07-01,US-2014-113201,205
TB-215204,Tracy Blumstein,2014-07-24,CA-2014-133718,58
KT-164804,Kean Thornton,2014-08-21,CA-2014-105326,26
LC-170504,Liz Carlisle,2014-09-10,CA-2014-137498,48
JM-158654,John Murray,2014-09-13,US-2014-109582,166
DB-136604,Duane Benoit,2014-09-24,CA-2014-121853,211
XP-218654,Xylona Preis,2014-10-10,US-2014-115595,35
GA-147254,Guy Armstrong,2014-11-12,CA-2014-110842,19
EP-139154,Emily Phan,2014-11-13,US-2014-125808,12
CC-125504,Clay Cheatham,2014-12-02,CA-2014-118542,45
EP-139154,Emily Phan,2014-12-19,CA-2014-102099,13
EP-139154,Emily Phan,2014-12-19,CA-2014-102099,32
SR-207404,Steven Roelle,2011-02-21,CA-2011-164903,13
